iter	Passed	Remaining
0	1	112
1	2	99
2	2	91
3	3	86
4	4	83
5	5	80
6	6	79
7	7	81
8	8	83
9	9	83
10	10	81
11	10	80
12	11	79
13	12	78
14	13	76
15	14	74
16	15	73
17	16	73
18	17	72
19	17	71
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	23	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	28	59
32	29	59
33	29	58
34	31	57
35	32	57
36	32	56
37	33	55
38	34	54
39	35	53
40	36	52
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	41
53	47	40
54	48	39
55	49	38
56	50	37
57	51	37
58	51	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	67	21
76	68	20
77	69	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	77	10
88	79	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	84	4
95	85	3
96	85	2
97	86	1
98	87	0
99	88	0
