iter	Passed	Remaining
0	1	1162
1	1	993
2	2	897
3	3	847
4	4	810
5	4	783
6	5	789
7	6	791
8	7	782
9	7	770
10	8	761
11	9	752
12	9	745
13	10	737
14	11	728
15	11	723
16	12	714
17	13	709
18	13	705
19	14	699
20	14	699
21	15	697
22	16	693
23	16	689
24	17	686
25	18	683
26	18	679
27	19	676
28	20	673
29	20	677
30	21	676
31	22	676
32	23	674
33	23	672
34	24	668
35	24	667
36	25	666
37	26	665
38	26	663
39	27	662
40	28	663
41	29	661
42	29	661
43	30	662
44	31	664
45	32	664
46	32	663
47	33	664
48	34	662
49	34	662
50	35	660
51	36	662
52	37	662
53	37	661
54	38	659
55	39	657
56	39	656
57	40	655
58	40	653
59	41	651
60	42	651
61	43	651
62	43	650
63	44	649
64	45	649
65	45	648
66	46	646
67	47	645
68	47	644
69	48	642
70	49	641
71	49	640
72	50	639
73	51	639
74	51	640
75	52	640
76	53	639
77	53	636
78	54	635
79	55	634
80	55	633
81	56	635
82	57	630
83	57	629
84	58	627
85	58	625
86	59	624
87	60	622
88	60	620
89	61	619
90	61	617
91	62	617
92	63	615
93	63	614
94	64	612
95	64	611
96	65	609
97	66	608
98	67	611
99	67	610
100	68	610
101	69	609
102	69	607
103	70	606
104	70	604
105	71	603
106	72	603
107	72	602
108	73	601
109	74	600
110	74	599
111	75	598
112	76	596
113	76	595
114	77	594
115	77	592
116	78	590
117	78	589
118	79	588
119	80	586
120	80	585
121	80	582
122	81	582
123	82	582
124	83	582
125	83	582
126	84	580
127	85	579
128	85	579
129	86	581
130	87	581
131	88	580
132	88	578
133	89	577
134	89	576
135	90	574
136	91	573
137	91	572
138	92	571
139	92	570
140	93	568
141	93	566
142	94	565
143	94	564
144	95	562
145	95	561
146	96	560
147	97	560
148	98	560
149	98	559
150	99	558
151	99	557
152	100	555
153	101	555
154	101	554
155	102	553
156	102	552
157	103	551
158	104	550
159	104	549
160	105	547
161	105	546
162	106	545
163	106	544
164	107	543
165	107	542
166	108	541
167	109	539
168	109	538
169	110	537
170	110	536
171	111	535
172	111	534
173	112	534
174	113	533
175	113	533
176	114	531
177	114	530
178	115	530
179	116	529
180	116	528
181	117	527
182	117	526
183	118	525
184	119	524
185	119	524
186	120	523
187	121	522
188	121	522
189	122	521
190	123	521
191	123	520
192	124	519
193	124	519
194	125	518
195	126	518
196	127	519
197	128	519
198	129	519
199	130	520
200	130	519
201	131	519
202	132	518
203	132	518
204	133	517
205	134	516
206	134	516
207	135	515
208	136	515
209	136	514
210	137	513
211	138	513
212	138	512
213	139	511
214	140	511
215	140	510
216	141	510
217	142	509
218	142	509
219	143	509
220	144	508
221	145	508
222	145	507
223	146	506
224	146	506
225	147	505
226	148	504
227	148	504
228	149	503
229	150	502
230	150	502
231	151	501
232	152	501
233	152	500
234	153	499
235	154	499
236	154	498
237	155	497
238	156	496
239	156	496
240	157	495
241	158	495
242	159	495
243	159	494
244	160	494
245	161	493
246	161	492
247	162	491
248	162	491
249	163	490
250	164	489
251	164	488
252	165	487
253	165	486
254	166	486
255	166	485
256	167	484
257	168	483
258	168	482
259	169	482
260	170	481
261	170	480
262	171	479
263	171	478
264	172	477
265	173	478
266	174	479
267	175	478
268	175	478
269	176	477
270	177	476
271	177	476
272	178	475
273	179	474
274	179	473
275	180	472
276	180	471
277	181	470
278	181	470
279	182	469
280	183	468
281	183	467
282	184	467
